engagement_ratio,caption_length,hashtag_count,fft_max_freq,fft_max_amp,niche,label
0.08033514046328241,72,10,118.6,42873806.847215146,GRWM,High
0.006307546274323683,72,14,295.0,18452210.270643674,GRWM,Low
0.06634787806335923,72,5,277.6,95283709.65529768,GRWM,High
0.16789772727272728,72,7,88.4,119691828.14421204,GRWM,High
0.06514657980456026,72,7,121.8,127906693.99819788,GRWM,High
0.08109803921568627,69,8,647.0,78984401.1373324,GRWM,High
0.010528259017324624,72,3,455.4,51384864.78721246,GRWM,Low
0.13365384615384615,20,0,212.6,6577564.296616178,GRWM,High
0.08414,72,8,503.2000000000001,18498319.484112836,GRWM,High
0.0683056292778321,72,5,428.8,13004923.561759427,GRWM,High
0.14814814814814814,72,2,45.400000000000006,146924607.1308353,GRWM,High
0.14306666666666668,41,2,209.0,1718357.0108828594,GRWM,High
0.011565217391304347,72,17,73.0,89897841.60002014,GRWM,Low
0.11666666666666667,62,2,209.6,5413853.904881281,GRWM,High
0.10385756676557864,72,8,181.2,60735933.21710353,GRWM,High
0.1447,4,0,223.0,12756590.837272735,GRWM,High
0.06294827586206897,72,3,59.8,61983362.42578073,GRWM,High
0.0761790017211704,72,5,527.0,4053097.282097999,GRWM,High
0.10506976744186046,72,9,232.4,12014391.604434222,GRWM,High
0.1324,72,18,109.6,42021399.85810014,GRWM,High
0.09810940821120931,72,4,429.2000000000001,21568511.284317777,GRWM,High
0.1711111111111111,72,5,253.0,30325700.66125335,GRWM,High
0.10558620689655172,72,18,95.4,2491574.8992960756,GRWM,High
0.08243636363636364,12,2,53.400000000000006,101758908.13025308,GRWM,High
0.11004761904761905,31,0,429.4,51178333.08604268,GRWM,High
0.07010416666666666,72,33,313.0,6910782.174350813,GRWM,High
0.15563636363636363,72,12,249.0,4890702.57493076,GRWM,High
0.1210448859455482,72,19,260.40000000000003,4204398.387821102,GRWM,High
0.14666666666666667,59,4,99.0,104666777.0183203,fyp,High
0.06176923076923077,35,1,68.4,13946297.772523284,fyp,High
0.013727272727272727,45,5,431.8,12808783.48474848,fyp,Low
0.057920937042459736,42,3,36.8,63424659.14043301,fyp,High
0.07613636363636364,72,10,37.2,300615474.3264721,fyp,High
0.0783132530120482,72,5,74.8,2551589.8852684232,fyp,High
0.008011363636363636,24,3,307.8,32678355.935089752,fyp,Low
0.14872727272727274,72,7,117.4,72334597.98637916,fyp,High
0.015474934036939314,72,3,742.4000000000001,6063560.685104441,fyp,Low
0.006442891859052248,72,3,58.400000000000006,10667153.444724016,fyp,Low
0.006538793103448276,72,8,185.6,3449535.340154474,fyp,Low
0.005949984751448613,46,8,82.06147952202863,146586305.27753985,fyp,Low
0.011877813504823151,6,1,48.8,120258892.14378688,fyp,Low
0.007799671592775041,60,2,131.8,88817356.18376583,fyp,Low
0.001227347611202636,65,4,119.6,92527726.19586608,fyp,Low
0.008249118683901293,40,3,85.80000000000001,49981372.09787841,fyp,Low
0.013285714285714286,23,3,73.58061757543082,202184693.6199223,fyp,Low
0.007023954526999594,43,3,219.8,59029275.76531645,fyp,Low
